age	sex	1846	1847	1848	1849	1850	1851	1852	1853	1854	1855	1856	1857	1858	1859	1860	1861	1862	1863	1864	1865	1866	1867	1868	1869	1870	1871	1872	1873	1874	1875	1876	1877	1878	1879	1880	1881	1882	1883	1884	1885	1886	1887	1888	1889	1890	1891	1892	1893	1894	1895	1896	1897	1898	1899	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	
0 years	Males	18382	19544	19540	18771	20981	20233	21129	20447	21666	23513	23331	23193	23837	24547	26079	25456	23484	24822	25759	25550	26282	25779	24098	24195	23258	23763	24217	24525	24688	25971	26840	27073	28028	27866	29137	28190	27605	27818	28378	29125	29287	29122	29817	28738	28001	29223	29485	28817	29703	28985	30440	30131	30538	31581	31405	31976	32143	32141	31481	30878	29951	30200	29775	29967	30711	29803	29901	30239	30146	30543	28344	29790	31186	30788	29245	33742	31666	30721	30517	28826	26648	26761	24762	24490	23811	23676	22628	22458	20936	20855	20372	20901	21730	22507	23035	23948	22725	26572	28729	31335	30934	35459	33873	33287	31736	31407	30649	31583	31580	31351	32045	32033	31500	31510	31612	30998	31756	31443	31856	33422	33726	33882	33595	34285	34461	32987	33193	32640	31215	30093	28534	27167	26000	26439	26291	26172	25717	26276	25601	25628	26175	26923	27394	29332	30325	31120	31170	31055	30500	30842	30940	31403	30668	29852	30485	30388	29042	28427	29076	29272	29165	30077	30054	31239	31928	31573	31136	31026	30330	30544	30545	30650
0 years	Females	17990	18742	18786	18537	20073	19760	20371	20107	20906	22737	22313	22106	23027	23688	24819	24251	22612	23792	24622	24419	25482	24741	23149	23169	22454	22976	23309	23845	24185	24922	25559	26376	26571	27049	28100	26967	26275	26459	27139	27765	28131	27644	28373	27440	26691	28021	28313	27031	28189	27712	28839	28874	29611	30304	30070	30653	30891	30791	30330	29750	28853	28865	28647	28448	29449	28634	28513	28799	28791	28782	27442	28574	29863	29494	27216	32263	30510	29765	28981	27121	25513	25570	23746	23624	22568	22479	21763	21345	19664	19681	19604	19913	20615	21466	22204	22593	21631	25141	26963	29169	29139	33640	32419	30891	29931	29651	28642	29666	30188	30153	30335	30802	30239	30189	30057	29603	29848	29858	30547	31189	31584	31784	31924	32381	32669	31115	31695	31033	29452	29083	27287	25916	24663	25059	24930	24613	24808	24722	24080	24416	24799	25363	26488	27948	28733	29570	29452	28932	29106	29053	29263	29432	29027	28430	28887	28805	27665	27193	27523	27815	27808	28654	28571	29434	30136	30079	29330	29504	29005	28839	28851	28685
1 year	Males	16699	17265	18075	18108	17605	19803	19179	19941	19329	20500	22233	21980	21906	22771	23294	24767	23283	21259	23051	24117	24410	24650	23926	22329	22543	21884	22321	22743	22964	22938	24326	25110	25360	26441	26451	27541	26301	25409	26050	26769	27452	27732	27436	28109	26926	26389	27599	27649	27364	27930	27496	28954	28721	29102	29887	30019	30433	30751	30701	30164	29560	28870	29138	28693	29000	29793	28872	28963	29310	29180	29678	27451	28932	30335	29959	28361	32951	30859	29967	29872	28251	26211	26247	24353	23999	23469	23270	22237	22102	20680	20512	20081	20619	21444	22233	22722	23596	22516	26303	28369	31100	30643	35248	33689	32966	31452	31167	30471	31450	31496	31301	31862	32086	31597	31676	31644	30897	31646	31353	31761	33324	33540	33862	33585	34252	34435	32980	33241	32667	31305	30149	28600	27255	26038	26478	26358	26303	25780	26333	25744	25768	26230	27091	27531	29434	30387	31234	31410	31308	30630	30953	31078	31558	30910	30134	30655	30549	29269	28641	29346	29535	29507	30519	30466	31697	32375	32004	31653	31532	30674	30896	30862
1 year	Females	16132	16949	17386	17506	17500	19042	18804	19183	19045	19748	21325	21195	20950	22079	22589	23698	22333	20681	22239	23344	23554	24064	23165	21567	21746	21223	21736	21893	22459	22680	23544	24016	24887	25131	25830	26604	25311	24276	24924	25684	26354	26684	26273	26874	25769	25243	26561	26769	25794	26703	26489	27634	27661	28490	28960	28955	29309	29711	29481	29179	28630	27875	27987	27697	27557	28657	27862	27756	28098	28002	28061	26681	27894	29099	28817	26574	31684	29847	29126	28439	26691	25142	25211	23441	23272	22251	22176	21487	21061	19439	19424	19389	19692	20419	21259	21961	22335	21442	24974	26766	29087	29015	33372	32209	30656	29707	29473	28482	29541	30075	30019	30180	30700	30080	30180	29864	29524	29763	29785	30471	31096	31386	31772	31932	32404	32663	31181	31772	31114	29606	29231	27450	26072	24788	25137	25073	24763	24997	24816	24203	24606	24907	25552	26634	27988	28822	29720	29659	29180	29259	29255	29402	29680	29299	28745	29090	29039	28025	27618	28066	28221	28197	29022	29004	29865	30586	30517	29776	29908	29423	29195	29138
2 years	Males	17089	16232	16710	17483	17610	17156	19302	18589	19346	18846	19852	21589	21342	21401	22170	22688	23803	22440	20741	22469	23713	23563	23748	22935	21441	21760	21064	21642	22006	22258	22235	23455	24338	24653	25824	25683	26523	25035	24416	25202	25958	26669	26908	26556	27269	26066	25764	26797	26993	26616	27369	26984	28488	28302	28592	29409	29546	29911	30098	30172	29657	29113	28431	28796	28319	28689	29478	28607	28713	29075	29021	29465	27301	28842	30128	29750	28188	32718	30581	29735	29649	28077	26019	26177	24256	23871	23364	23183	22129	22020	20588	20420	19984	20534	21360	22143	22639	23465	22381	26149	28229	30967	30584	35242	33680	33020	31368	31115	30395	31397	31399	31221	31817	32026	31534	31612	31623	30905	31610	31297	31748	33189	33527	33898	33599	34240	34447	32970	33254	32695	31349	30193	28668	27296	26082	26546	26427	26379	25892	26434	25831	25826	26395	27267	27599	29520	30496	31399	31620	31432	30723	31040	31261	31722	31151	30257	30760	30673	29417	28793	29504	29732	29799	30875	30815	32053	32765	32432	32035	31840	30827	31108
2 years	Females	16404	15692	16431	16863	17070	17101	18569	18188	18622	18492	19030	20756	20625	20482	21504	22032	22772	21528	20146	21671	23101	22736	23150	22262	20764	21041	20534	21029	21175	21745	22041	22772	23342	24259	24559	25149	25607	24154	23367	24139	24981	25593	25907	25492	26025	25018	24680	25820	26141	25094	26174	26071	27267	27272	28043	28589	28485	28865	29132	28945	28607	28204	27505	27632	27357	27277	28354	27631	27582	27891	27839	27883	26641	27781	28972	28623	26435	31453	29591	28928	28252	26568	25032	25135	23355	23214	22169	22074	21385	20987	19363	19361	19329	19623	20351	21182	21926	22229	21346	24859	26682	28991	28974	33338	32145	30885	29647	29427	28427	29485	30016	29965	30117	30669	29993	30225	29854	29523	29749	29744	30442	31025	31400	31832	31979	32440	32748	31197	31846	31167	29696	29333	27540	26139	24832	25201	25192	24863	25081	24906	24282	24680	25034	25668	26670	28014	28909	29858	29884	29299	29402	29366	29567	29929	29548	28891	29193	29290	28195	27823	28361	28510	28592	29375	29333	30213	30948	30995	30149	30243	29631	29464
3 years	Males	17337	16677	15880	16381	17167	17355	16889	18934	18202	18994	18543	19528	21220	21001	21008	21737	21952	23047	21959	20467	22242	23067	22929	23101	22296	20884	21159	20490	21135	21585	21931	21670	23028	23935	24241	25275	24929	25541	24240	23784	24637	25382	26038	26292	25986	26675	25635	25335	26293	26552	26293	27085	26752	28261	28032	28325	29118	29226	29450	29720	29790	29353	28851	28254	28589	28094	28517	29273	28501	28557	28995	28897	29478	27222	28846	30105	29620	28078	32528	30409	29569	29479	27969	25906	26166	24245	23795	23295	23123	22046	21950	20530	20360	19932	20485	21311	22085	22554	23339	22278	26058	28200	30941	30549	35232	33887	32930	31316	31073	30346	31311	31356	31179	31775	32016	31457	31592	31598	30900	31555	31270	31664	33232	33529	33868	33584	34283	34509	33038	33287	32749	31425	30274	28685	27316	26106	26601	26497	26435	25953	26518	25919	25923	26471	27295	27635	29608	30600	31540	31723	31498	30791	31147	31361	31893	31181	30319	30859	30750	29490	28894	29656	29980	30030	31161	31118	32369	33101	32758	32289	32053	31024
3 years	Females	17564	15986	15287	16101	16576	16821	16870	18220	17786	18302	18124	18677	20380	20366	20112	21053	21354	22037	21071	19912	21479	22471	22100	22534	21681	20254	20514	20024	20511	20702	21397	21563	22373	22925	23918	24056	24424	24647	23444	22825	23611	24480	25030	25261	24900	25430	24612	24261	25383	25695	24835	25933	25866	27039	27019	27820	28331	28188	28408	28777	28583	28291	27942	27276	27422	27161	27127	28196	27502	27485	27821	27742	27897	26618	27782	28978	28542	26370	31294	29456	28795	28134	26479	24941	25111	23373	23143	22122	22022	21346	20941	19320	19312	19286	19576	20311	21154	21838	22146	21257	24798	26727	28961	28958	33317	31778	30788	29612	29406	28390	29428	30011	29942	30055	30647	29928	30218	29851	29524	29713	29714	30426	31038	31440	31840	31980	32460	32798	31267	31923	31219	29731	29428	27573	26160	24864	25252	25240	24918	25139	24967	24348	24824	25147	25714	26684	28098	29002	30039	29972	29392	29482	29454	29665	30121	29589	28937	29331	29353	28283	27899	28449	28715	28859	29645	29648	30441	31342	31228	30383	30416	29783
4 years	Males	16367	16958	16313	15617	16207	16985	17164	16699	18629	17913	18739	18294	19247	20952	20693	20672	21123	21352	22572	21723	20379	21759	22554	22422	22571	21827	20383	20620	20206	20801	21305	21479	21347	22716	23642	23777	24641	24151	24876	23743	23348	24189	24925	25506	25790	25529	26322	25288	24983	25911	26300	26060	26915	26560	28038	27841	28092	28842	28834	29056	29399	29530	29070	28689	28063	28406	27969	28406	29151	28392	28511	28916	28856	29465	27189	28933	29969	29524	27974	32428	30281	29471	29318	27881	25812	26154	24187	23765	23261	23050	21986	21899	20484	20309	19886	20429	21266	22015	22461	23257	22212	26150	28194	30900	30518	35189	33727	32867	31272	31055	30328	31334	31336	31145	31728	31967	31434	31581	31585	30857	31534	31195	31625	33248	33549	33859	33607	34323	34496	33063	33292	32794	31498	30319	28708	27364	26152	26642	26548	26477	26041	26565	26010	26049	26520	27368	27702	29700	30785	31640	31798	31556	30890	31251	31595	31943	31238	30450	30897	30851	29576	29001	29878	30234	30281	31333	31389	32647	33362	32943	32399	32213
4 years	Females	16352	17088	15607	15025	15937	16401	16654	16669	17914	17528	18045	17847	18387	20167	20114	19779	20469	20751	21598	20883	19819	21027	21998	21603	22063	21272	19792	20015	19720	20243	20428	20989	21267	22096	22679	23507	23469	23660	24006	22971	22425	23184	24039	24544	24780	24440	25111	24263	23938	25041	25455	24653	25771	25701	26854	26856	27581	28049	27855	28069	28442	28299	27991	27741	27101	27254	27070	27011	28086	27416	27440	27770	27704	27861	26665	27850	28853	28471	26292	31234	29352	28684	28022	26397	24884	25128	23326	23112	22083	21978	21317	20897	19282	19286	19251	19554	20322	21094	21781	22081	21209	24924	26721	28956	28950	33433	31763	30691	29600	29390	28385	29433	30006	29912	30005	30669	29914	30213	29840	29517	29682	29708	30446	31039	31440	31846	32014	32477	32827	31336	31968	31275	29785	29483	27578	26218	24944	25309	25247	24947	25197	25038	24465	24920	25175	25741	26756	28222	29143	30076	30068	29499	29545	29544	29828	30155	29619	29077	29419	29407	28420	28002	28673	28944	29067	29848	29868	30739	31605	31420	30582	30566
